tas,"	Year", Month, Country, ISO3, ISO2
27.2857,1965,11,GHA,,
26.1243,1965,12,GHA,,
27.0589,1966,1,GHA,,
28.7167,1966,2,GHA,,
29.5067,1966,3,GHA,,
29.036,1966,4,GHA,,
28.2637,1966,5,GHA,,
26.4336,1966,6,GHA,,
26.2613,1966,7,GHA,,
25.6749,1966,8,GHA,,
25.8911,1966,9,GHA,,
26.9655,1966,10,GHA,,
27.6243,1966,11,GHA,,
26.698,1966,12,GHA,,
26.2687,1967,1,GHA,,
28.7175,1967,2,GHA,,
28.936,1967,3,GHA,,
28.8181,1967,4,GHA,,
28.1328,1967,5,GHA,,
26.2679,1967,6,GHA,,
25.2258,1967,7,GHA,,
25.225,1967,8,GHA,,
25.5739,1967,9,GHA,,
26.6595,1967,10,GHA,,
27.2249,1967,11,GHA,,
26.7278,1967,12,GHA,,
26.4253,1968,1,GHA,,
29.0003,1968,2,GHA,,
29.0375,1968,3,GHA,,
28.2608,1968,4,GHA,,
27.8418,1968,5,GHA,,
26.4118,1968,6,GHA,,
26.0173,1968,7,GHA,,
26.5013,1968,8,GHA,,
25.9713,1968,9,GHA,,
27.1286,1968,10,GHA,,
27.3435,1968,11,GHA,,
27.099,1968,12,GHA,,
27.1726,1969,1,GHA,,
29.5469,1969,2,GHA,,
29.7478,1969,3,GHA,,
29.7518,1969,4,GHA,,
28.627,1969,5,GHA,,
27.0113,1969,6,GHA,,
25.6916,1969,7,GHA,,
25.5759,1969,8,GHA,,
25.8319,1969,9,GHA,,
26.5671,1969,10,GHA,,
26.944,1969,11,GHA,,
27.1785,1969,12,GHA,,
27.5085,1970,1,GHA,,
29.4523,1970,2,GHA,,
29.8256,1970,3,GHA,,
29.6838,1970,4,GHA,,
27.8478,1970,5,GHA,,
27.2182,1970,6,GHA,,
25.4616,1970,7,GHA,,
25.2947,1970,8,GHA,,
25.5844,1970,9,GHA,,
27.223,1970,10,GHA,,
26.873,1970,11,GHA,,
26.3543,1970,12,GHA,,
26.2,1971,1,GHA,,
28.4137,1971,2,GHA,,
28.6529,1971,3,GHA,,
28.548,1971,4,GHA,,
27.7504,1971,5,GHA,,
26.1579,1971,6,GHA,,
25.0557,1971,7,GHA,,
24.4595,1971,8,GHA,,
24.9847,1971,9,GHA,,
26.288,1971,10,GHA,,
26.9583,1971,11,GHA,,
25.7293,1971,12,GHA,,
26.7098,1972,1,GHA,,
28.8402,1972,2,GHA,,
28.9561,1972,3,GHA,,
28.1996,1972,4,GHA,,
27.3928,1972,5,GHA,,
26.2164,1972,6,GHA,,
25.6607,1972,7,GHA,,
24.9924,1972,8,GHA,,
25.754,1972,9,GHA,,
26.5239,1972,10,GHA,,
27.1837,1972,11,GHA,,
26.6639,1972,12,GHA,,
27.351,1973,1,GHA,,
29.8743,1973,2,GHA,,
29.6588,1973,3,GHA,,
29.5536,1973,4,GHA,,
28.5073,1973,5,GHA,,
26.7779,1973,6,GHA,,
25.9429,1973,7,GHA,,
25.3748,1973,8,GHA,,
25.5958,1973,9,GHA,,
26.7894,1973,10,GHA,,
